Name,Lat,Lon,Website,Description,Address,Type,Restaurant Type,Cuisines,Rating,Total Rating,Estimated Cost,Open Time,Close Time
Malihao Hills Village View Deck,8.8943254,125.5011182,https://www.facebook.com/mikkipats,,,View Point,,,5,5,,,
Malalag Ridge (Top View),8.9246554,125.4963239,,,"WFFW+VG8, Butuan City, Agusan Del Norte",View Point,,,5,2,,,
Magsaysay Bridge,8.92280477,125.5535922,,"This Bridge, named after President Ramon Magsaysay, was inaugurated by President Carlos P. Garcia on May 19 1953. It was the bridge that linked the east and west banks if the Agusan River making land trips to Cabadbaran, Surigao and Davao possible. When on the bridge one can get an excellent view of the Agusan River and parts of the city center that are near its banks","Macapagal Bridge, Butuan City",View Point,,,,,,,
Guingona Park,8.9476296,125.543298,,"Set in the heart of the city, this landmark park is a gathering spot for events & has a splash pad.","WFFW+VG8, Butuan City, Agusan Del Norte",Picnic Site/Park,,,4.1,37,,,
View deck,8.9162854,125.4591343,,,"VFHQ+V5 Butuan City, Agusan Del Norte",View Point,,,5,8,,,
Butuan Gardens,8.936584,125.48541,,,Farm,Picnic Site/Park,,,5,5,0,,
Bood Eco-Park,8.9527394,125.4570203,,,"XF3R+3V6, Butuan, Agusan Del Norte",Picnic Site/Park,,,4.2,33,0,24 hrs,
Magellan's Anchorage,8.9994499,125.4843378,,,"XFXM+QPG, Butuan City, Agusan Del Norte",Historical,,,3.9,226,0,,
Malalag Ridge,8.9269625,125.48707,,,,Hiking,,,5,2,,,
Asian Century Museum,8.953459254,125.5340543,Vigattin Tourism Butuan City,"This is the newest museum in Butuan City. It is a proper museum, with a curator and actors","923 Beatriz Building, Ochoa Avenue, Butuan City, Agusan Del Norte",Museum,,,,,,,
Balangay Shrine,8.9540982,125.4962951,,"Established in 1979, this cultural heritage museum includes ancient wooden boats & other artifacts.","6th St, Butuan City, Agusan Del Norte",Museum,,,4.3,112,0,08:00,17:00
"National Museum - Butuan, Eastern-Northern Mindanao Regional Museum",8.9523852,125.527082,Shrine,National museum showcasing regional archaeological objects & cultural exhibits.,"Jose Rosales Ave, Butuan City, Agusan Del Norte",Museum,,,4.3,164,20,09:00,16:00
Manlangit Nature's Park,8.928094,125.453874,https://www.facebook.com/ManlangitNaturePark/,360 Degrees Restaurant | Outdoors Bar | Snack Bar | Cafe d' Manlangit | Skyluxe Events | Octagon | Horse Riding | Ostrich Viewing | Flower Fields,"Sitio Manlangit Barangay Alubihid, Buenavista Butuan City, 8601 Agusan Del Norte",Picnic Site/Park,,,4.2,105,,05:30,21:00
Mt.Mayapay View Deck,8.8814391,125.484904,,,,View Point,,,4.3,6,,,
